Time,Download Speed (mbps),Upload Speed (mbps),Ping
Mon May 23 11:35:40 2022,92,95,9.249
Mon May 23 11:37:23 2022,92,84,3.746
Mon May 23 11:43:30 2022,94,80,5.248
Mon May 23 11:44:07 2022,91,91,3.945
Mon May 23 11:45:23 2022,93,80,4.164
Mon May 23 11:50:38 2022,92,95,5.293
Mon May 23 11:53:18 2022,93,90,3.992
Mon May 23 11:55:21 2022,93,88,4.292
Mon May 23 11:56:17 2022,93,87,3.931
